id_parque,nome,activo,id_entidade,capacidade_max,ocupacao,data_ocupacao,latitude,longitude,tipo,data_ocupacao_hora,data_ocupacao_data
P042,Alcântara,1,7,82,57,2023-03-10 11:01:02,38.706007,-9.175066,Superfície,11,2023-03-10
P064,Olivais,1,7,89,42,2023-03-10 11:00:58,38.716819,-9.128867,Estrutura,11,2023-03-10
P043,Ameixoeira,1,7,71,63,2023-03-10 11:00:59,38.779591,-9.158056,Superfície,11,2023-03-10
P061,Parque Vila Maria,1,7,68,39,2023-03-10 11:00:58,38.725041,-9.166372,Estrutura,11,2023-03-10
P035,Parque Mayer,1,7,46,18,2023-03-10 11:01:00,38.719062,-9.145547,Superfície,11,2023-03-10
P062,Parque da Graça,1,7,30,9,2023-03-10 11:00:58,38.716819,-9.128867,Estrutura,11,2023-03-10
P037,Rego,1,7,118,55,2023-03-10 11:01:00,38.744582,-9.159954,Estrutura,11,2023-03-10
P063,Cosme Damião,1,7,133,7,2023-03-10 11:00:58,38.716819,-9.128867,Estrutura,11,2023-03-10
P030,Combatentes,1,7,30,-2,2023-03-10 11:01:01,38.745735,-9.162904,Superfície,11,2023-03-10
P057,Manuel Gouveia,1,7,90,90,2023-03-10 11:00:58,38.744327,-9.130995,Estrutura,11,2023-03-10
P031,Calçada do Combro,1,7,89,47,2023-03-10 11:01:01,38.711188,-9.147541,Estrutura,11,2023-03-10
P044,Telheiras Nascente,1,7,26,0,2023-03-10 11:00:59,38.761512,-9.164886,Estrutura,11,2023-03-10
P032,Estrada da Luz,1,7,96,43,2023-03-10 11:01:01,38.749827,-9.170943,Superfície,11,2023-03-10
P048,Campo das Cebolas,1,7,105,98,2023-03-10 11:00:59,38.70888,-9.131141,Estrutura,11,2023-03-10
P033,Lumiar,1,7,56,54,2023-03-10 11:00:59,38.773079,-9.159321,Estrutura,11,2023-03-10
P040,Mercado de Alvalade,1,7,93,83,2023-03-10 11:00:59,38.755424,-9.139498,Superfície,11,2023-03-10
P034,Avenida Lusíada,1,7,92,55,2023-03-10 11:01:00,38.75214,-9.188309,Superfície,11,2023-03-10
P025,Campo Grande,1,7,88,88,2023-03-10 11:01:01,38.757586,-9.155495,Superfície,11,2023-03-10
P027,Casal Vistoso,1,7,55,38,2023-03-10 11:01:02,38.742375,-9.128965,Estrutura,11,2023-03-10
P028,Chão do Loureiro,1,7,70,65,2023-03-10 11:01:00,38.712416,-9.135017,Estrutura,11,2023-03-10
P029,Colégio Militar,1,7,255,230,2023-03-10 11:01:01,38.752172,-9.188327,Superfície,11,2023-03-10
P020,Sousa Pinto,1,7,35,5,2023-03-10 11:01:02,38.724475,-9.157032,"Superfície
",11,2023-03-10
P023,Areeiro,1,7,60,49,2023-03-10 11:01:02,38.744081,-9.132344,Superfície,11,2023-03-10
P024,Belém,1,7,75,37,2023-03-10 11:01:01,38.69723,-9.203909,Superfície,11,2023-03-10
P016,Universidade,1,7,146,144,2023-03-10 11:01:02,38.750671,-9.158464,Superfície,11,2023-03-10
P058,Campo de Ourique,1,7,54,31,2023-03-10 11:00:59,38.719168,-9.170647,Estrutura,11,2023-03-10
